id,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
1,INV1000,S681,Stapler,17,2025-07-08,8.09,C961,India
2,INV1001,S780,Pen,15,2025-07-11,4.52,C493,France
3,INV1002,S555,Stapler,18,2025-11-17,99.39,C735,UK
4,INV1003,S129,Ruler,45,2025-06-09,95.57,C968,USA
5,INV1004,S277,Ruler,33,2025-09-20,82.74,C670,UK
6,INV1005,S437,Stapler,20,2025-09-15,83.18,C616,Germany
7,INV1006,S887,Ruler,35,2025-10-26,20.63,C138,UK
8,INV1007,S469,Marker,6,2025-02-03,68.33,C363,UK
9,INV1008,S547,Ruler,29,2025-07-06,29.33,C211,USA
10,INV1009,S987,Pen,14,2025-11-27,31.73,C142,USA
11,INV1010,S408,Ruler,26,2025-09-14,23.29,C276,USA
12,INV1011,S630,Notebook,33,2025-06-11,30.71,C249,France
13,INV1012,S167,Notebook,15,2025-02-18,73.31,C828,India
14,INV1013,S650,Pen,19,2025-08-05,34.44,C880,Germany
15,INV1014,S445,Ruler,38,2026-01-01,47.04,C176,France
16,INV1015,S989,Stapler,43,2025-07-14,65.73,C269,Germany
17,INV1016,S884,Ruler,23,2025-07-06,48.47,C856,France
18,INV1017,S843,Pen,44,2025-03-13,43.76,C710,UK
19,INV1018,S356,Pen,39,2025-08-12,24.61,C309,France
20,INV1019,S327,Marker,28,2025-08-16,4.02,C579,USA
21,INV1020,S730,Eraser,23,2025-09-10,79.86,C881,UK
22,INV1021,S342,Stapler,9,2025-12-06,93.17,C140,UK
23,INV1022,S142,Pencil,28,2025-01-13,38.69,C962,France
24,INV1023,S608,Marker,45,2025-12-20,86.26,C398,France
25,INV1024,S226,Eraser,19,2025-05-21,49.37,C926,USA
26,INV1025,S369,Notebook,50,2025-08-11,41.84,C188,UK
27,INV1026,S904,Eraser,50,2025-10-21,37.7,C165,USA
28,INV1027,S822,Notebook,20,2025-12-29,62.27,C815,France
29,INV1028,S365,Pen,32,2025-04-30,13.91,C302,USA
30,INV1029,S337,Pencil,41,2025-02-06,69.15,C424,UK
31,INV1030,S218,Pencil,8,2025-04-07,5.31,C495,USA
32,INV1031,S126,Pencil,38,2025-05-22,59.02,C624,USA
33,INV1032,S287,Pen,7,2025-12-30,98.2,C557,India
34,INV1033,S540,Pencil,39,2025-12-20,83.97,C192,Germany
35,INV1034,S396,Stapler,50,2025-11-24,74.97,C151,UK
36,INV1035,S531,Eraser,31,2025-01-25,72.51,C900,Germany
37,INV1036,S850,Eraser,1,2025-09-16,75.11,C145,UK
38,INV1037,S590,Pen,3,2025-08-24,91.72,C728,India
39,INV1038,S344,Ruler,41,2025-01-23,3.8,C517,India
40,INV1039,S101,Ruler,5,2025-06-30,24.71,C721,France
41,INV1040,S154,Notebook,31,2025-08-10,14.13,C161,India
42,INV1041,S437,Eraser,17,2025-10-26,86.35,C414,India
43,INV1042,S234,Pencil,5,2025-10-07,92.26,C837,France
44,INV1043,S651,Pen,40,2025-04-06,43.64,C410,Germany
